分类	子分类	代码	名称	货币	股价	25涨幅	YTD	MKT_Cap_USD	TEV_USD	PE_25	PE_26	PE_27	PE_28	EV_25	EV_26	EV_27	EV_28	RevYoY_26	RevYoY_27	RevYoY_28	EBITDA_Margin_25	EBITDA_Margin_26	EBITDA_Margin_27	EBITDA_Margin_28	NP_Margin_25	NP_Margin_26	NP_Margin_27	NP_Margin_28
CN Semi Cap		SHSE:688120	Hwatsing Technology	CNY	274.1	0.36620574867566535	1.5105659471451225	19.250145875362318	18.66241934057971	122.56434250724061	96.13784891251565	72.30181118189103	54.370195305512546	109.29884514852692	79.00987753136111	59.138002219098304	44.6803233072574	0.2764572896689812	0.3234351185141988	0.3100835268801587	0.25346270416058125	0.2746894379388471	0.2773026662105636	0.2801595309724087	0.23314793787007507	0.23286007337846207	0.23395783780618998	0.23747992156432737
CN Semi Cap		SHSE:688147	Jiangsu Leadmicro Nano	CNY	142.0	1.232061603080154	1.2267523914066176	8.956800492753622	8.879391865217391	281.7191838548387				254.29877192160342							0.09149285616442822				0.08330761563388377			
CN Semi Cap		SHSE:688361	Skyverse Technology	CNY	353.35	0.7231676877694577	1.3265077692915463	17.40666525942029	17.173428385507247	2047.7535897836344	301.56926278655186	170.6826828814234	108.8902903807797	-1675.8002364288525	278.44222069224804	155.5768398760602	102.32871835924009	0.49905164528539947	0.45386614684860294	0.4527374301675977	-0.03443751669052527	0.13826185834957763	0.17020335195530725	0.17812644208583295	0.028565047617998898	0.12939246263807666	0.15724692737430165	0.16966620519920012
CN Semi Cap		SZSE:300567	Wuhan Jingce Electronic	CNY	266.57	0.24966916629907354	2.1364866454877047	10.807552571014492	11.314418034782607	909.1859406308769	204.03240201031204	122.55610499629844	78.24410876430902	281.0427862838551	103.64765200074346	63.87975343741538	47.83669389705882	0.20766630598046998	0.3689613731904686	0.17590155842172117	0.08297942754006245	0.1863101257821902	0.22082157434033484	0.2507682851874616	0.024501084134681033	0.09040488975800413	0.10994232555192764	0.14644591272280272
CN Semi Cap		SHSE:600641	Kingstone (subsidiary of Wanye)	CNY	44.43	0.15897097625329826	1.528742174160501	5.838017414492755	5.935265753623188	-318.19465550658725	-593.2750543386853	-785.6380866640741	-1712.6429030601316	-198.05449280874075	-242.5760085142875	-360.5812580981103	-1739.4589172824005	0.3679406895415098	0.2948610423586593	0.2327485514329739	-0.11166199145079726	-0.0666461328116212	-0.034625534445899206	-0.00582251958840905	-0.0683632031980615	-0.026803525979035403	-0.015631560022671007	-0.005816791965345763
CN Semi Cap		SHSE:688200	AccoTest 华峰测控	CNY	454.43	0.8444615097621138	2.503080449052315	12.882034782608695	12.588687023188404	165.80244347244619	119.85989158190483	100.5842247261003	76.43510201754577	166.45039481837662	114.23218128250073	92.23399317781013	68.64944842712382	0.369490413188434	0.20706483815834664	0.2910298027826783	0.3875851826868003	0.4123865849408192	0.42312763290739247	0.44034095479739527	0.39816685048007977	0.4021824815596342	0.3970420989359778	0.40470382911180564
CN Semi Cap		SZSE:300604	Changchuan Tech 长川科技	CNY	304.0	1.2508517887563886	1.8760643330179754	27.87899465942029	28.076959373913045	144.48513215317215	96.35886058115466	63.019101318720914	45.426276601398875	134.43965141778506	84.23422258661158	57.90467169969483	40.29633822323105	0.3331105658842073	0.36100913328691364	0.3499876799908601	0.2723262662359358	0.32603345541989603	0.3484785857628378	0.3709320084076359	0.25160587922300737	0.2829997930867012	0.3179395305630984	0.3267230601950641
CN Semi Cap		SHSE:688627	SEICHI 精智达	CNY	566.33	2.0068992449882845	1.4517511580587903	7.663056398550724	7.589957479710145	808.2256080597728	177.73139210084034	111.78665782241015	76.85332725290698	653.9553539452818	140.02862729946526	89.67586748287673	62.420389284862935	0.6559386427572291	0.542558886509636	0.3449592226271039	0.07099172073229507	0.20021413276231265	0.20267221933020996	0.21648819507160366	0.05799437534022979	0.15926124197002142	0.16415061599861183	0.17752548058315057
CN Semi Cap		SHSE:688729	E-Town Semi	CNY	36.57		0.46867469879518087	16.032842144927535	15.642841326086957	164.92251251872224				153.81873354458025	71.62387582964051	50.71935470455972		0.40482276134811457	0.22870035268330824		0.13823139269674786	0.211318033796515	0.24287044992024892		0.13213894925553274	0.0	0.0	
JP Semi Cap		TSE:8035	TEL	JPY	69670.0	0.4190614016952656	1.0300116550116551	206.79330716176102	203.60934489761007	65.3511733323793	44.509671538616075	30.775705784467064	22.715119750411052	47.677999087967656	33.59416557669296	25.8139310477762	21.28701154280153	0.29818078460335196	0.358133275157168	0.3091829082963704	0.2844481439326183	0.31097257537782436	0.29798157632750194	0.27601236377495464	0.21076888983656855	0.23838028328043226	0.25384832940182456	0.26270417422867515
